Date,Discharge,baseflow,interpolation,baseflow
9/29/2015,199,199,199,199
9/30/2015,198,198,198,198
10/1/2015,197,197,197,197
10/2/2015,196,196,196,196
10/3/2015,198,198,198,198
10/4/2015,201,201,201,201
10/5/2015,197,197,197,197
10/6/2015,195,195,195,195
10/7/2015,196,196,196,196
10/8/2015,200,200,200,200
10/9/2015,201,201,201,201
10/10/2015,205,205,205,205
10/11/2015,209,209,209,209
10/12/2015,207,207,207,207
10/13/2015,211,,204.5,204.5
10/14/2015,202,202,202,202
10/15/2015,208,,203.5,203.5
10/16/2015,205,205,205,205
10/17/2015,205,205,205,205
10/18/2015,208,,204,204
10/19/2015,203,203,203,203
10/20/2015,201,201,201,201
10/21/2015,199,199,199,199
10/22/2015,202,202,202,202
10/23/2015,224,,210,210
10/24/2015,371,,218,218
10/25/2015,284,,226,226
10/26/2015,234,234,234,234
10/27/2015,235,235,235,235
10/28/2015,237,237,237,237
10/29/2015,238,238,238,238
10/30/2015,4070,,245.625,245.625
10/31/2015,1040,,253.25,253.25
11/1/2015,453,,260.875,260.875
11/2/2015,392,,268.5,268.5
11/3/2015,380,,276.125,276.125
11/4/2015,358,,283.75,283.75
11/5/2015,329,,291.375,291.375
11/6/2015,299,299,299,299
11/7/2015,299,299,299,299
11/8/2015,298,298,298,298
11/9/2015,296,296,296,296
11/10/2015,300,300,300,300
11/11/2015,299,299,299,299
11/12/2015,299,299,299,299
11/13/2015,296,296,296,296
11/14/2015,296,296,296,296
11/15/2015,296,296,296,296
11/16/2015,297,297,297,297
11/17/2015,311,,299,299
11/18/2015,301,301,301,301
11/19/2015,303,303,303,303
11/20/2015,302,302,302,302
11/21/2015,304,304,304,304
11/22/2015,302,302,302,302
11/23/2015,301,301,301,301
11/24/2015,301,301,301,301
11/25/2015,303,303,303,303
11/26/2015,307,307,307,307
11/27/2015,310,310,310,310
11/28/2015,362,,312.3333333,312.3333333
11/29/2015,325,,314.6666667,314.6666667
11/30/2015,317,317,317,317
12/1/2015,317,317,317,317
12/2/2015,317,317,317,317
12/3/2015,311,311,311,311
12/4/2015,312,312,312,312
12/5/2015,312,312,312,312
12/6/2015,309,309,309,309
12/7/2015,308,308,308,308
12/8/2015,307,307,307,307
12/9/2015,306,306,306,306
12/10/2015,307,307,307,307
12/11/2015,308,308,308,308
12/12/2015,308,308,308,308
12/13/2015,368,,306.5,306.5
12/14/2015,321,,305,305
12/15/2015,309,,303.5,303.5
12/16/2015,302,302,302,302
